tournament,year,team,group
fifa world cup,2022,Saudi Arabia,C
fifa world cup,2022,Australia,D
fifa world cup,2022,Denmark,D
fifa world cup,2022,France,D
fifa world cup,2022,Tunisia,D
fifa world cup,2022,Costa Rica,E
fifa world cup,2022,Germany,E
fifa world cup,2022,Japan,E
fifa world cup,2022,Spain,E
fifa world cup,2022,Belgium,F
fifa world cup,2022,Canada,F
fifa world cup,2022,Croatia,F
fifa world cup,2022,Morocco,F
fifa world cup,2022,Ghana,G
fifa world cup,2022,Portugal,G
fifa world cup,2022,South Korea,G
fifa world cup,2022,Uruguay,G
fifa world cup,2022,Brazil,H
fifa world cup,2022,Cameroon,H
fifa world cup,2022,Serbia,H
fifa world cup,2022,Switzerland,H
gold cup,2023,Jamaica,A
gold cup,2023,Saint Kitts and Nevis,A
gold cup,2023,Trinidad and Tobago,A
gold cup,2023,United States,A
gold cup,2023,Haiti,B
gold cup,2023,Honduras,B
gold cup,2023,Mexico,B
gold cup,2023,Qatar,B
gold cup,2023,Costa Rica,C
gold cup,2023,El Salvador,C
gold cup,2023,Martinique,C
gold cup,2023,Panama,C
gold cup,2023,Canada,D
gold cup,2023,Cuba,D
gold cup,2023,Guadeloupe,D
gold cup,2023,Guatemala,D
afc asian cup,2024,China PR,A
afc asian cup,2024,Lebanon,A
afc asian cup,2024,Qatar,A
afc asian cup,2024,Tajikistan,A
afc asian cup,2024,Australia,B
afc asian cup,2024,India,B
afc asian cup,2024,Syria,B
afc asian cup,2024,Uzbekistan,B
